age_category,group,size_total,size_start,size_confirm,conversion_rate%
20-30,control,3724,2946,2424,65.09
20-30,test,4335,3646,3188,73.54
30-40,control,4416,3443,2848,64.49
30-40,test,5257,4322,3658,69.58
40-50,control,4026,3056,2614,64.93
40-50,test,4641,3794,3220,69.38
50-60,control,5208,3798,3135,60.2
50-60,test,5850,4473,3967,67.81
60-70,control,4305,2982,2360,54.82
60-70,test,4822,3567,3227,66.92
over 70,control,1636,1020,683,41.75
over 70,test,1795,1237,944,52.59
under 20,control,211,171,146,69.19
under 20,test,261,220,203,77.78
