age_category,group,size_total,size_start,reduction_total_to_start,size_confirm,reduction_start_to_confirm,reduction_total_to_confirm,conversion_rate
20-30,control,3724,2946,-0.20891514500537056,2424,-0.17718940936863548,-0.34908700322234154,0.6509129967776585
20-30,test,4335,3646,-0.1589388696655133,3179,-0.12808557323093805,-0.2666666666666667,0.7333333333333333
30-40,control,4416,3443,-0.22033514492753625,2848,-0.1728144060412431,-0.35507246376811596,0.644927536231884
30-40,test,5257,4322,-0.17785809396994479,3661,-0.15293845441925036,-0.3035952063914781,0.6964047936085219
40-50,control,4026,3056,-0.24093392945851966,2614,-0.14463350785340312,-0.3507203179334327,0.6492796820665673
40-50,test,4641,3794,-0.18250377073906487,3226,-0.14971006852925672,-0.30489118724412845,0.6951088127558716
50-60,control,5208,3798,-0.27073732718894006,3135,-0.174565560821485,-0.3980414746543779,0.6019585253456221
50-60,test,5850,4473,-0.23538461538461541,3820,-0.14598703331097695,-0.347008547008547,0.652991452991453
60-70,control,4305,2982,-0.30731707317073176,2360,-0.20858484238765929,-0.4518002322880371,0.5481997677119629
60-70,test,4822,3567,-0.2602654500207383,2973,-0.1665264928511354,-0.3834508502695977,0.6165491497304023
over 70,control,1636,1020,-0.37652811735941316,683,-0.33039215686274515,-0.5825183374083129,0.41748166259168706
over 70,test,1795,1237,-0.31086350974930366,876,-0.29183508488278087,-0.5119777158774373,0.48802228412256266
under 20,control,211,171,-0.18957345971563977,146,-0.14619883040935677,-0.30805687203791465,0.6919431279620853
under 20,test,261,220,-0.15708812260536398,204,-0.07272727272727275,-0.2183908045977011,0.7816091954022989
