age_category,group,size_total,size_start,reduction_total_to_start,size_confirm,reduction_start_to_confirm,reduction_total_to_confirm
20-30,control,3724,2977,-0.20059076262083786,2424,-0.18575747396708098,-0.34908700322234154
20-30,test,4335,3653,-0.1573241061130335,3179,-0.1297563646318095,-0.2666666666666667
30-40,control,4416,3470,-0.21422101449275366,2848,-0.17925072046109514,-0.35507246376811596
30-40,test,5257,4331,-0.1761460909263839,3661,-0.15469868390671904,-0.3035952063914781
40-50,control,4026,3089,-0.23273720814704424,2614,-0.15377144707024926,-0.3507203179334327
40-50,test,4641,3802,-0.1807800043094161,3226,-0.15149921094160967,-0.30489118724412845
50-60,control,5208,3835,-0.26363287250384027,3135,-0.182529335071708,-0.3980414746543779
50-60,test,5850,4480,-0.23418803418803413,3820,-0.1473214285714286,-0.347008547008547
60-70,control,4305,3012,-0.3003484320557491,2360,-0.2164674634794157,-0.4518002322880371
60-70,test,4822,3573,-0.2590211530485276,2973,-0.16792611251049538,-0.3834508502695977
over 70,control,1636,1028,-0.371638141809291,683,-0.33560311284046696,-0.5825183374083129
over 70,test,1795,1242,-0.3080779944289693,876,-0.2946859903381642,-0.5119777158774373
under 20,control,211,171,-0.18957345971563977,146,-0.14619883040935677,-0.30805687203791465
under 20,test,261,220,-0.15708812260536398,204,-0.07272727272727275,-0.2183908045977011
